Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4062.01,"Census Tract 4062.01, Alameda County, California",6001406201,140,0,6,1,21,,406201,47
Census Tract 4062.02,"Census Tract 4062.02, Alameda County, California",6001406202,140,0,6,1,21,,406202,0
Census Tract 4063,"Census Tract 4063, Alameda County, California",6001406300,140,0,6,1,21,,406300,0
Census Tract 4064,"Census Tract 4064, Alameda County, California",6001406400,140,0,6,1,21,,406400,0
Census Tract 4065,"Census Tract 4065, Alameda County, California",6001406500,140,0,6,1,21,,406500,0
Census Tract 4066.01,"Census Tract 4066.01, Alameda County, California",6001406601,140,0,6,1,21,,406601,0
Census Tract 4066.02,"Census Tract 4066.02, Alameda County, California",6001406602,140,0,6,1,21,,406602,0
Census Tract 4067,"Census Tract 4067, Alameda County, California",6001406700,140,0,6,1,21,,406700,30
Census Tract 4068,"Census Tract 4068, Alameda County, California",6001406800,140,0,6,1,21,,406800,6
Census Tract 4069,"Census Tract 4069, Alameda County, California",6001406900,140,0,6,1,21,,406900,0
Census Tract 4070,"Census Tract 4070, Alameda County, California",6001407000,140,0,6,1,21,,407000,0
Census Tract 4071.01,"Census Tract 4071.01, Alameda County, California",6001407101,140,0,6,1,21,,407101,0
Census Tract 4071.02,"Census Tract 4071.02, Alameda County, California",6001407102,140,0,6,1,21,,407102,6
Census Tract 4072,"Census Tract 4072, Alameda County, California",6001407200,140,0,6,1,21,,407200,11
Census Tract 4073,"Census Tract 4073, Alameda County, California",6001407300,140,0,6,1,21,,407300,0
Census Tract 4074,"Census Tract 4074, Alameda County, California",6001407400,140,0,6,1,21,,407400,0
Census Tract 4075,"Census Tract 4075, Alameda County, California",6001407500,140,0,6,1,21,,407500,0
Census Tract 4076,"Census Tract 4076, Alameda County, California",6001407600,140,0,6,1,21,,407600,4
Census Tract 4077,"Census Tract 4077, Alameda County, California",6001407700,140,0,6,1,21,,407700,5
Census Tract 4078,"Census Tract 4078, Alameda County, California",6001407800,140,0,6,1,21,,407800,0
Census Tract 4079,"Census Tract 4079, Alameda County, California",6001407900,140,0,6,1,21,,407900,5
Census Tract 4080,"Census Tract 4080, Alameda County, California",6001408000,140,0,6,1,21,,408000,0
Census Tract 4081,"Census Tract 4081, Alameda County, California",6001408100,140,0,6,1,21,,408100,0
Census Tract 4082,"Census Tract 4082, Alameda County, California",6001408200,140,0,6,1,21,,408200,0
Census Tract 4083,"Census Tract 4083, Alameda County, California",6001408300,140,0,6,1,21,,408300,0
Census Tract 4084,"Census Tract 4084, Alameda County, California",6001408400,140,0,6,1,21,,408400,2
Census Tract 4085,"Census Tract 4085, Alameda County, California",6001408500,140,0,6,1,21,,408500,0
Census Tract 4086,"Census Tract 4086, Alameda County, California",6001408600,140,0,6,1,21,,408600,4
Census Tract 4087,"Census Tract 4087, Alameda County, California",6001408700,140,0,6,1,21,,408700,5
Census Tract 4088,"Census Tract 4088, Alameda County, California",6001408800,140,0,6,1,21,,408800,0
Census Tract 4089,"Census Tract 4089, Alameda County, California",6001408900,140,0,6,1,21,,408900,0
Census Tract 4090,"Census Tract 4090, Alameda County, California",6001409000,140,0,6,1,21,,409000,0
Census Tract 4091,"Census Tract 4091, Alameda County, California",6001409100,140,0,6,1,21,,409100,0
Census Tract 4092,"Census Tract 4092, Alameda County, California",6001409200,140,0,6,1,21,,409200,0
Census Tract 4093,"Census Tract 4093, Alameda County, California",6001409300,140,0,6,1,21,,409300,0
Census Tract 4094,"Census Tract 4094, Alameda County, California",6001409400,140,0,6,1,21,,409400,0
Census Tract 4095,"Census Tract 4095, Alameda County, California",6001409500,140,0,6,1,21,,409500,0
Census Tract 4096,"Census Tract 4096, Alameda County, California",6001409600,140,0,6,1,21,,409600,4
Census Tract 4097,"Census Tract 4097, Alameda County, California",6001409700,140,0,6,1,21,,409700,0
Census Tract 4098,"Census Tract 4098, Alameda County, California",6001409800,140,0,6,1,21,,409800,0
Census Tract 4099,"Census Tract 4099, Alameda County, California",6001409900,140,0,6,1,21,,409900,3
Census Tract 4100,"Census Tract 4100, Alameda County, California",6001410000,140,0,6,1,21,,410000,0
Census Tract 4101,"Census Tract 4101, Alameda County, California",6001410100,140,0,6,1,21,,410100,0
Census Tract 4102,"Census Tract 4102, Alameda County, California",6001410200,140,0,6,1,21,,410200,0
Census Tract 4103,"Census Tract 4103, Alameda County, California",6001410300,140,0,6,1,21,,410300,0
Census Tract 4104,"Census Tract 4104, Alameda County, California",6001410400,140,0,6,1,21,,410400,5
Census Tract 4105,"Census Tract 4105, Alameda County, California",6001410500,140,0,6,1,21,,410500,0
Census Tract 4201,"Census Tract 4201, Alameda County, California",6001420100,140,0,6,1,21,,420100,0
Census Tract 4202,"Census Tract 4202, Alameda County, California",6001420200,140,0,6,1,21,,420200,0
Census Tract 4203,"Census Tract 4203, Alameda County, California",6001420300,140,0,6,1,21,,420300,0
Census Tract 4204,"Census Tract 4204, Alameda County, California",6001420400,140,0,6,1,21,,420400,0
Census Tract 4205,"Census Tract 4205, Alameda County, California",6001420500,140,0,6,1,21,,420500,0
Census Tract 4206,"Census Tract 4206, Alameda County, California",6001420600,140,0,6,1,21,,420600,0
Census Tract 4211,"Census Tract 4211, Alameda County, California",6001421100,140,0,6,1,21,,421100,0
Census Tract 4212,"Census Tract 4212, Alameda County, California",6001421200,140,0,6,1,21,,421200,0
Census Tract 4213,"Census Tract 4213, Alameda County, California",6001421300,140,0,6,1,21,,421300,0
Census Tract 4214,"Census Tract 4214, Alameda County, California",6001421400,140,0,6,1,21,,421400,0
Census Tract 4215,"Census Tract 4215, Alameda County, California",6001421500,140,0,6,1,21,,421500,0
Census Tract 4216,"Census Tract 4216, Alameda County, California",6001421600,140,0,6,1,21,,421600,0
Census Tract 4217,"Census Tract 4217, Alameda County, California",6001421700,140,0,6,1,21,,421700,0
Census Tract 4218,"Census Tract 4218, Alameda County, California",6001421800,140,0,6,1,21,,421800,0
Census Tract 4219,"Census Tract 4219, Alameda County, California",6001421900,140,0,6,1,21,,421900,3
Census Tract 4220,"Census Tract 4220, Alameda County, California",6001422000,140,0,6,1,21,,422000,0
Census Tract 4221,"Census Tract 4221, Alameda County, California",6001422100,140,0,6,1,21,,422100,0
Census Tract 4222,"Census Tract 4222, Alameda County, California",6001422200,140,0,6,1,21,,422200,0
Census Tract 4223,"Census Tract 4223, Alameda County, California",6001422300,140,0,6,1,21,,422300,0
Census Tract 4224,"Census Tract 4224, Alameda County, California",6001422400,140,0,6,1,21,,422400,0
Census Tract 4225,"Census Tract 4225, Alameda County, California",6001422500,140,0,6,1,21,,422500,0
Census Tract 4226,"Census Tract 4226, Alameda County, California",6001422600,140,0,6,1,21,,422600,0
Census Tract 4227,"Census Tract 4227, Alameda County, California",6001422700,140,0,6,1,21,,422700,15
Census Tract 4228,"Census Tract 4228, Alameda County, California",6001422800,140,0,6,1,21,,422800,0
Census Tract 4229,"Census Tract 4229, Alameda County, California",6001422900,140,0,6,1,21,,422900,0
Census Tract 4230,"Census Tract 4230, Alameda County, California",6001423000,140,0,6,1,21,,423000,0
Census Tract 4231,"Census Tract 4231, Alameda County, California",6001423100,140,0,6,1,21,,423100,106
Census Tract 4232,"Census Tract 4232, Alameda County, California",6001423200,140,0,6,1,21,,423200,15
Census Tract 4233,"Census Tract 4233, Alameda County, California",6001423300,140,0,6,1,21,,423300,0
Census Tract 4234,"Census Tract 4234, Alameda County, California",6001423400,140,0,6,1,21,,423400,0
Census Tract 4235,"Census Tract 4235, Alameda County, California",6001423500,140,0,6,1,21,,423500,0
Census Tract 4236.01,"Census Tract 4236.01, Alameda County, California",6001423601,140,0,6,1,21,,423601,0
Census Tract 4236.02,"Census Tract 4236.02, Alameda County, California",6001423602,140,0,6,1,21,,423602,0
Census Tract 4237,"Census Tract 4237, Alameda County, California",6001423700,140,0,6,1,21,,423700,0
Census Tract 4238,"Census Tract 4238, Alameda County, California",6001423800,140,0,6,1,21,,423800,0
Census Tract 4239.01,"Census Tract 4239.01, Alameda County, California",6001423901,140,0,6,1,21,,423901,0
Census Tract 4239.02,"Census Tract 4239.02, Alameda County, California",6001423902,140,0,6,1,21,,423902,0
Census Tract 4240.01,"Census Tract 4240.01, Alameda County, California",6001424001,140,0,6,1,21,,424001,9
Census Tract 4240.02,"Census Tract 4240.02, Alameda County, California",6001424002,140,0,6,1,21,,424002,5
Census Tract 4251.01,"Census Tract 4251.01, Alameda County, California",6001425101,140,0,6,1,21,,425101,0
Census Tract 4251.02,"Census Tract 4251.02, Alameda County, California",6001425102,140,0,6,1,21,,425102,0
