Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4612,"Census Tract 4612, Los Angeles County, California",6037461200,140,0,6,37,23,,461200,6
Census Tract 4613,"Census Tract 4613, Los Angeles County, California",6037461300,140,0,6,37,23,,461300,4
Census Tract 4614,"Census Tract 4614, Los Angeles County, California",6037461400,140,0,6,37,23,,461400,0
Census Tract 4615.01,"Census Tract 4615.01, Los Angeles County, California",6037461501,140,0,6,37,23,,461501,0
Census Tract 4615.02,"Census Tract 4615.02, Los Angeles County, California",6037461502,140,0,6,37,23,,461502,0
Census Tract 4616,"Census Tract 4616, Los Angeles County, California",6037461600,140,0,6,37,23,,461600,0
Census Tract 4617,"Census Tract 4617, Los Angeles County, California",6037461700,140,0,6,37,23,,461700,6
Census Tract 4619.01,"Census Tract 4619.01, Los Angeles County, California",6037461901,140,0,6,37,23,,461901,32
Census Tract 4619.02,"Census Tract 4619.02, Los Angeles County, California",6037461902,140,0,6,37,23,,461902,0
Census Tract 4620.01,"Census Tract 4620.01, Los Angeles County, California",6037462001,140,0,6,37,23,,462001,0
Census Tract 4620.02,"Census Tract 4620.02, Los Angeles County, California",6037462002,140,0,6,37,23,,462002,0
Census Tract 4621,"Census Tract 4621, Los Angeles County, California",6037462100,140,0,6,37,23,,462100,0
Census Tract 4622.01,"Census Tract 4622.01, Los Angeles County, California",6037462201,140,0,6,37,23,,462201,0
Census Tract 4622.02,"Census Tract 4622.02, Los Angeles County, California",6037462202,140,0,6,37,23,,462202,0
Census Tract 4623.01,"Census Tract 4623.01, Los Angeles County, California",6037462301,140,0,6,37,23,,462301,0
Census Tract 4623.02,"Census Tract 4623.02, Los Angeles County, California",6037462302,140,0,6,37,23,,462302,0
Census Tract 4624,"Census Tract 4624, Los Angeles County, California",6037462400,140,0,6,37,23,,462400,6
Census Tract 4625,"Census Tract 4625, Los Angeles County, California",6037462500,140,0,6,37,23,,462500,0
Census Tract 4626,"Census Tract 4626, Los Angeles County, California",6037462600,140,0,6,37,23,,462600,0
Census Tract 4627,"Census Tract 4627, Los Angeles County, California",6037462700,140,0,6,37,23,,462700,6
Census Tract 4628,"Census Tract 4628, Los Angeles County, California",6037462800,140,0,6,37,23,,462800,0
Census Tract 4629,"Census Tract 4629, Los Angeles County, California",6037462900,140,0,6,37,23,,462900,0
Census Tract 4630,"Census Tract 4630, Los Angeles County, California",6037463000,140,0,6,37,23,,463000,0
Census Tract 4631.01,"Census Tract 4631.01, Los Angeles County, California",6037463101,140,0,6,37,23,,463101,0
Census Tract 4631.02,"Census Tract 4631.02, Los Angeles County, California",6037463102,140,0,6,37,23,,463102,18
Census Tract 4632,"Census Tract 4632, Los Angeles County, California",6037463200,140,0,6,37,23,,463200,0
Census Tract 4633,"Census Tract 4633, Los Angeles County, California",6037463300,140,0,6,37,23,,463300,0
Census Tract 4634,"Census Tract 4634, Los Angeles County, California",6037463400,140,0,6,37,23,,463400,0
Census Tract 4635,"Census Tract 4635, Los Angeles County, California",6037463500,140,0,6,37,23,,463500,0
Census Tract 4636.01,"Census Tract 4636.01, Los Angeles County, California",6037463601,140,0,6,37,23,,463601,6
Census Tract 4636.02,"Census Tract 4636.02, Los Angeles County, California",6037463602,140,0,6,37,23,,463602,0
Census Tract 4637,"Census Tract 4637, Los Angeles County, California",6037463700,140,0,6,37,23,,463700,0
Census Tract 4638,"Census Tract 4638, Los Angeles County, California",6037463800,140,0,6,37,23,,463800,50
Census Tract 4639,"Census Tract 4639, Los Angeles County, California",6037463900,140,0,6,37,23,,463900,0
Census Tract 4640,"Census Tract 4640, Los Angeles County, California",6037464000,140,0,6,37,23,,464000,0
Census Tract 4641,"Census Tract 4641, Los Angeles County, California",6037464100,140,0,6,37,23,,464100,0
Census Tract 4642,"Census Tract 4642, Los Angeles County, California",6037464200,140,0,6,37,23,,464200,0
Census Tract 4800.02,"Census Tract 4800.02, Los Angeles County, California",6037480002,140,0,6,37,23,,480002,0
Census Tract 4800.11,"Census Tract 4800.11, Los Angeles County, California",6037480011,140,0,6,37,23,,480011,0
Census Tract 4800.12,"Census Tract 4800.12, Los Angeles County, California",6037480012,140,0,6,37,23,,480012,0
Census Tract 4801.01,"Census Tract 4801.01, Los Angeles County, California",6037480101,140,0,6,37,23,,480101,5
Census Tract 4801.02,"Census Tract 4801.02, Los Angeles County, California",6037480102,140,0,6,37,23,,480102,0
Census Tract 4802.01,"Census Tract 4802.01, Los Angeles County, California",6037480201,140,0,6,37,23,,480201,0
Census Tract 4802.02,"Census Tract 4802.02, Los Angeles County, California",6037480202,140,0,6,37,23,,480202,0
Census Tract 4803.02,"Census Tract 4803.02, Los Angeles County, California",6037480302,140,0,6,37,23,,480302,0
Census Tract 4803.03,"Census Tract 4803.03, Los Angeles County, California",6037480303,140,0,6,37,23,,480303,0
Census Tract 4803.04,"Census Tract 4803.04, Los Angeles County, California",6037480304,140,0,6,37,23,,480304,0
Census Tract 4804,"Census Tract 4804, Los Angeles County, California",6037480400,140,0,6,37,23,,480400,0
Census Tract 4805,"Census Tract 4805, Los Angeles County, California",6037480500,140,0,6,37,23,,480500,4
Census Tract 4806,"Census Tract 4806, Los Angeles County, California",6037480600,140,0,6,37,23,,480600,0
Census Tract 4807.02,"Census Tract 4807.02, Los Angeles County, California",6037480702,140,0,6,37,23,,480702,0
Census Tract 4807.03,"Census Tract 4807.03, Los Angeles County, California",6037480703,140,0,6,37,23,,480703,0
Census Tract 4807.04,"Census Tract 4807.04, Los Angeles County, California",6037480704,140,0,6,37,23,,480704,0
Census Tract 4808.02,"Census Tract 4808.02, Los Angeles County, California",6037480802,140,0,6,37,23,,480802,0
Census Tract 4808.03,"Census Tract 4808.03, Los Angeles County, California",6037480803,140,0,6,37,23,,480803,0
Census Tract 4808.04,"Census Tract 4808.04, Los Angeles County, California",6037480804,140,0,6,37,23,,480804,0
Census Tract 4809.01,"Census Tract 4809.01, Los Angeles County, California",6037480901,140,0,6,37,23,,480901,0
Census Tract 4809.02,"Census Tract 4809.02, Los Angeles County, California",6037480902,140,0,6,37,23,,480902,0
Census Tract 4809.03,"Census Tract 4809.03, Los Angeles County, California",6037480903,140,0,6,37,23,,480903,0
Census Tract 4810.01,"Census Tract 4810.01, Los Angeles County, California",6037481001,140,0,6,37,23,,481001,27
Census Tract 4810.02,"Census Tract 4810.02, Los Angeles County, California",6037481002,140,0,6,37,23,,481002,0
Census Tract 4811.01,"Census Tract 4811.01, Los Angeles County, California",6037481101,140,0,6,37,23,,481101,0
Census Tract 4811.02,"Census Tract 4811.02, Los Angeles County, California",6037481102,140,0,6,37,23,,481102,0
Census Tract 4811.03,"Census Tract 4811.03, Los Angeles County, California",6037481103,140,0,6,37,23,,481103,5
Census Tract 4812.01,"Census Tract 4812.01, Los Angeles County, California",6037481201,140,0,6,37,23,,481201,0
Census Tract 4812.02,"Census Tract 4812.02, Los Angeles County, California",6037481202,140,0,6,37,23,,481202,0
Census Tract 4813,"Census Tract 4813, Los Angeles County, California",6037481300,140,0,6,37,23,,481300,0
Census Tract 4814.01,"Census Tract 4814.01, Los Angeles County, California",6037481401,140,0,6,37,23,,481401,0
Census Tract 4814.02,"Census Tract 4814.02, Los Angeles County, California",6037481402,140,0,6,37,23,,481402,0
Census Tract 4815,"Census Tract 4815, Los Angeles County, California",6037481500,140,0,6,37,23,,481500,0
Census Tract 4816.03,"Census Tract 4816.03, Los Angeles County, California",6037481603,140,0,6,37,23,,481603,0
Census Tract 4816.04,"Census Tract 4816.04, Los Angeles County, California",6037481604,140,0,6,37,23,,481604,0
Census Tract 4816.05,"Census Tract 4816.05, Los Angeles County, California",6037481605,140,0,6,37,23,,481605,0
Census Tract 4816.06,"Census Tract 4816.06, Los Angeles County, California",6037481606,140,0,6,37,23,,481606,0
Census Tract 4817.11,"Census Tract 4817.11, Los Angeles County, California",6037481711,140,0,6,37,23,,481711,0
Census Tract 4817.12,"Census Tract 4817.12, Los Angeles County, California",6037481712,140,0,6,37,23,,481712,0
Census Tract 4817.13,"Census Tract 4817.13, Los Angeles County, California",6037481713,140,0,6,37,23,,481713,0
Census Tract 4817.14,"Census Tract 4817.14, Los Angeles County, California",6037481714,140,0,6,37,23,,481714,0
Census Tract 4818,"Census Tract 4818, Los Angeles County, California",6037481800,140,0,6,37,23,,481800,0
Census Tract 4819.01,"Census Tract 4819.01, Los Angeles County, California",6037481901,140,0,6,37,23,,481901,0
Census Tract 4819.02,"Census Tract 4819.02, Los Angeles County, California",6037481902,140,0,6,37,23,,481902,0
Census Tract 4820.01,"Census Tract 4820.01, Los Angeles County, California",6037482001,140,0,6,37,23,,482001,0
Census Tract 4820.02,"Census Tract 4820.02, Los Angeles County, California",6037482002,140,0,6,37,23,,482002,0
Census Tract 4821.01,"Census Tract 4821.01, Los Angeles County, California",6037482101,140,0,6,37,23,,482101,0
Census Tract 4821.02,"Census Tract 4821.02, Los Angeles County, California",6037482102,140,0,6,37,23,,482102,0
Census Tract 4822.01,"Census Tract 4822.01, Los Angeles County, California",6037482201,140,0,6,37,23,,482201,3
Census Tract 4822.02,"Census Tract 4822.02, Los Angeles County, California",6037482202,140,0,6,37,23,,482202,0
Census Tract 4823.01,"Census Tract 4823.01, Los Angeles County, California",6037482301,140,0,6,37,23,,482301,0
Census Tract 4823.03,"Census Tract 4823.03, Los Angeles County, California",6037482303,140,0,6,37,23,,482303,0
Census Tract 4823.04,"Census Tract 4823.04, Los Angeles County, California",6037482304,140,0,6,37,23,,482304,0
Census Tract 4824.01,"Census Tract 4824.01, Los Angeles County, California",6037482401,140,0,6,37,23,,482401,0
Census Tract 4824.02,"Census Tract 4824.02, Los Angeles County, California",6037482402,140,0,6,37,23,,482402,0
Census Tract 4825.02,"Census Tract 4825.02, Los Angeles County, California",6037482502,140,0,6,37,23,,482502,4
Census Tract 4825.03,"Census Tract 4825.03, Los Angeles County, California",6037482503,140,0,6,37,23,,482503,0
Census Tract 4825.21,"Census Tract 4825.21, Los Angeles County, California",6037482521,140,0,6,37,23,,482521,62
Census Tract 4825.22,"Census Tract 4825.22, Los Angeles County, California",6037482522,140,0,6,37,23,,482522,0
Census Tract 4826,"Census Tract 4826, Los Angeles County, California",6037482600,140,0,6,37,23,,482600,0
Census Tract 4827.01,"Census Tract 4827.01, Los Angeles County, California",6037482701,140,0,6,37,23,,482701,0
Census Tract 4827.02,"Census Tract 4827.02, Los Angeles County, California",6037482702,140,0,6,37,23,,482702,0
Census Tract 4828,"Census Tract 4828, Los Angeles County, California",6037482800,140,0,6,37,23,,482800,0
Census Tract 5001,"Census Tract 5001, Los Angeles County, California",6037500100,140,0,6,37,23,,500100,0
Census Tract 5002.01,"Census Tract 5002.01, Los Angeles County, California",6037500201,140,0,6,37,23,,500201,6
Census Tract 5002.02,"Census Tract 5002.02, Los Angeles County, California",6037500202,140,0,6,37,23,,500202,0
Census Tract 5003,"Census Tract 5003, Los Angeles County, California",6037500300,140,0,6,37,23,,500300,0
Census Tract 5004.02,"Census Tract 5004.02, Los Angeles County, California",6037500402,140,0,6,37,23,,500402,0
Census Tract 5004.03,"Census Tract 5004.03, Los Angeles County, California",6037500403,140,0,6,37,23,,500403,0
Census Tract 5004.04,"Census Tract 5004.04, Los Angeles County, California",6037500404,140,0,6,37,23,,500404,0
Census Tract 5005,"Census Tract 5005, Los Angeles County, California",6037500500,140,0,6,37,23,,500500,0
Census Tract 5006,"Census Tract 5006, Los Angeles County, California",6037500600,140,0,6,37,23,,500600,0
Census Tract 5007,"Census Tract 5007, Los Angeles County, California",6037500700,140,0,6,37,23,,500700,0
Census Tract 5008,"Census Tract 5008, Los Angeles County, California",6037500800,140,0,6,37,23,,500800,0
Census Tract 5009,"Census Tract 5009, Los Angeles County, California",6037500900,140,0,6,37,23,,500900,0
Census Tract 5010.01,"Census Tract 5010.01, Los Angeles County, California",6037501001,140,0,6,37,23,,501001,0
Census Tract 5010.02,"Census Tract 5010.02, Los Angeles County, California",6037501002,140,0,6,37,23,,501002,0
Census Tract 5012,"Census Tract 5012, Los Angeles County, California",6037501200,140,0,6,37,23,,501200,0
Census Tract 5013,"Census Tract 5013, Los Angeles County, California",6037501300,140,0,6,37,23,,501300,0
Census Tract 5014,"Census Tract 5014, Los Angeles County, California",6037501400,140,0,6,37,23,,501400,0
Census Tract 5015.01,"Census Tract 5015.01, Los Angeles County, California",6037501501,140,0,6,37,23,,501501,0
Census Tract 5015.03,"Census Tract 5015.03, Los Angeles County, California",6037501503,140,0,6,37,23,,501503,0
Census Tract 5015.04,"Census Tract 5015.04, Los Angeles County, California",6037501504,140,0,6,37,23,,501504,0
Census Tract 5016,"Census Tract 5016, Los Angeles County, California",6037501600,140,0,6,37,23,,501600,0
Census Tract 5017,"Census Tract 5017, Los Angeles County, California",6037501700,140,0,6,37,23,,501700,0
Census Tract 5018.02,"Census Tract 5018.02, Los Angeles County, California",6037501802,140,0,6,37,23,,501802,0
Census Tract 5018.03,"Census Tract 5018.03, Los Angeles County, California",6037501803,140,0,6,37,23,,501803,0
Census Tract 5018.04,"Census Tract 5018.04, Los Angeles County, California",6037501804,140,0,6,37,23,,501804,0
Census Tract 5019,"Census Tract 5019, Los Angeles County, California",6037501900,140,0,6,37,23,,501900,0
Census Tract 5020.03,"Census Tract 5020.03, Los Angeles County, California",6037502003,140,0,6,37,23,,502003,0
Census Tract 5020.04,"Census Tract 5020.04, Los Angeles County, California",6037502004,140,0,6,37,23,,502004,6
Census Tract 5020.05,"Census Tract 5020.05, Los Angeles County, California",6037502005,140,0,6,37,23,,502005,0
Census Tract 5021,"Census Tract 5021, Los Angeles County, California",6037502100,140,0,6,37,23,,502100,0
Census Tract 5022,"Census Tract 5022, Los Angeles County, California",6037502200,140,0,6,37,23,,502200,0
Census Tract 5023.01,"Census Tract 5023.01, Los Angeles County, California",6037502301,140,0,6,37,23,,502301,0
Census Tract 5023.02,"Census Tract 5023.02, Los Angeles County, California",6037502302,140,0,6,37,23,,502302,0
Census Tract 5024.01,"Census Tract 5024.01, Los Angeles County, California",6037502401,140,0,6,37,23,,502401,0
Census Tract 5024.02,"Census Tract 5024.02, Los Angeles County, California",6037502402,140,0,6,37,23,,502402,0
Census Tract 5025,"Census Tract 5025, Los Angeles County, California",6037502500,140,0,6,37,23,,502500,0
Census Tract 5026.01,"Census Tract 5026.01, Los Angeles County, California",6037502601,140,0,6,37,23,,502601,0
Census Tract 5026.02,"Census Tract 5026.02, Los Angeles County, California",6037502602,140,0,6,37,23,,502602,0
Census Tract 5027,"Census Tract 5027, Los Angeles County, California",6037502700,140,0,6,37,23,,502700,0
Census Tract 5028.01,"Census Tract 5028.01, Los Angeles County, California",6037502801,140,0,6,37,23,,502801,0
Census Tract 5028.02,"Census Tract 5028.02, Los Angeles County, California",6037502802,140,0,6,37,23,,502802,45
Census Tract 5029.01,"Census Tract 5029.01, Los Angeles County, California",6037502901,140,0,6,37,23,,502901,0
Census Tract 5029.02,"Census Tract 5029.02, Los Angeles County, California",6037502902,140,0,6,37,23,,502902,0
Census Tract 5030,"Census Tract 5030, Los Angeles County, California",6037503000,140,0,6,37,23,,503000,0
Census Tract 5031.03,"Census Tract 5031.03, Los Angeles County, California",6037503103,140,0,6,37,23,,503103,0
Census Tract 5031.04,"Census Tract 5031.04, Los Angeles County, California",6037503104,140,0,6,37,23,,503104,0
Census Tract 5031.05,"Census Tract 5031.05, Los Angeles County, California",6037503105,140,0,6,37,23,,503105,0
Census Tract 5031.06,"Census Tract 5031.06, Los Angeles County, California",6037503106,140,0,6,37,23,,503106,0
Census Tract 5032.01,"Census Tract 5032.01, Los Angeles County, California",6037503201,140,0,6,37,23,,503201,0
Census Tract 5032.02,"Census Tract 5032.02, Los Angeles County, California",6037503202,140,0,6,37,23,,503202,0
Census Tract 5033.01,"Census Tract 5033.01, Los Angeles County, California",6037503301,140,0,6,37,23,,503301,0
Census Tract 5033.02,"Census Tract 5033.02, Los Angeles County, California",6037503302,140,0,6,37,23,,503302,0
Census Tract 5034.01,"Census Tract 5034.01, Los Angeles County, California",6037503401,140,0,6,37,23,,503401,0
Census Tract 5034.02,"Census Tract 5034.02, Los Angeles County, California",6037503402,140,0,6,37,23,,503402,0
Census Tract 5035.01,"Census Tract 5035.01, Los Angeles County, California",6037503501,140,0,6,37,23,,503501,0
Census Tract 5035.02,"Census Tract 5035.02, Los Angeles County, California",6037503502,140,0,6,37,23,,503502,6
Census Tract 5036.01,"Census Tract 5036.01, Los Angeles County, California",6037503601,140,0,6,37,23,,503601,0
Census Tract 5036.02,"Census Tract 5036.02, Los Angeles County, California",6037503602,140,0,6,37,23,,503602,0
Census Tract 5037.01,"Census Tract 5037.01, Los Angeles County, California",6037503701,140,0,6,37,23,,503701,0
Census Tract 5037.02,"Census Tract 5037.02, Los Angeles County, California",6037503702,140,0,6,37,23,,503702,0
Census Tract 5037.03,"Census Tract 5037.03, Los Angeles County, California",6037503703,140,0,6,37,23,,503703,0
Census Tract 5038.01,"Census Tract 5038.01, Los Angeles County, California",6037503801,140,0,6,37,23,,503801,0
Census Tract 5038.02,"Census Tract 5038.02, Los Angeles County, California",6037503802,140,0,6,37,23,,503802,0
Census Tract 5039.01,"Census Tract 5039.01, Los Angeles County, California",6037503901,140,0,6,37,23,,503901,0
Census Tract 5039.02,"Census Tract 5039.02, Los Angeles County, California",6037503902,140,0,6,37,23,,503902,0
Census Tract 5040.01,"Census Tract 5040.01, Los Angeles County, California",6037504001,140,0,6,37,23,,504001,0
Census Tract 5040.02,"Census Tract 5040.02, Los Angeles County, California",6037504002,140,0,6,37,23,,504002,0
Census Tract 5041.01,"Census Tract 5041.01, Los Angeles County, California",6037504101,140,0,6,37,23,,504101,0
Census Tract 5041.02,"Census Tract 5041.02, Los Angeles County, California",6037504102,140,0,6,37,23,,504102,0
Census Tract 5300.03,"Census Tract 5300.03, Los Angeles County, California",6037530003,140,0,6,37,23,,530003,0
Census Tract 5300.04,"Census Tract 5300.04, Los Angeles County, California",6037530004,140,0,6,37,23,,530004,0
Census Tract 5300.05,"Census Tract 5300.05, Los Angeles County, California",6037530005,140,0,6,37,23,,530005,0
Census Tract 5300.06,"Census Tract 5300.06, Los Angeles County, California",6037530006,140,0,6,37,23,,530006,2
Census Tract 5301.01,"Census Tract 5301.01, Los Angeles County, California",6037530101,140,0,6,37,23,,530101,0
Census Tract 5301.02,"Census Tract 5301.02, Los Angeles County, California",6037530102,140,0,6,37,23,,530102,0
Census Tract 5302.02,"Census Tract 5302.02, Los Angeles County, California",6037530202,140,0,6,37,23,,530202,0
Census Tract 5302.03,"Census Tract 5302.03, Los Angeles County, California",6037530203,140,0,6,37,23,,530203,0
Census Tract 5302.04,"Census Tract 5302.04, Los Angeles County, California",6037530204,140,0,6,37,23,,530204,0
Census Tract 5303.01,"Census Tract 5303.01, Los Angeles County, California",6037530301,140,0,6,37,23,,530301,0
Census Tract 5303.02,"Census Tract 5303.02, Los Angeles County, California",6037530302,140,0,6,37,23,,530302,0
Census Tract 5304,"Census Tract 5304, Los Angeles County, California",6037530400,140,0,6,37,23,,530400,0
Census Tract 5305,"Census Tract 5305, Los Angeles County, California",6037530500,140,0,6,37,23,,530500,0
Census Tract 5306.01,"Census Tract 5306.01, Los Angeles County, California",6037530601,140,0,6,37,23,,530601,0
Census Tract 5306.02,"Census Tract 5306.02, Los Angeles County, California",6037530602,140,0,6,37,23,,530602,0
Census Tract 5307,"Census Tract 5307, Los Angeles County, California",6037530700,140,0,6,37,23,,530700,11
Census Tract 5308.01,"Census Tract 5308.01, Los Angeles County, California",6037530801,140,0,6,37,23,,530801,0
Census Tract 5308.02,"Census Tract 5308.02, Los Angeles County, California",6037530802,140,0,6,37,23,,530802,0
Census Tract 5309.01,"Census Tract 5309.01, Los Angeles County, California",6037530901,140,0,6,37,23,,530901,0
Census Tract 5309.02,"Census Tract 5309.02, Los Angeles County, California",6037530902,140,0,6,37,23,,530902,0
Census Tract 5310,"Census Tract 5310, Los Angeles County, California",6037531000,140,0,6,37,23,,531000,0
Census Tract 5311.01,"Census Tract 5311.01, Los Angeles County, California",6037531101,140,0,6,37,23,,531101,0
Census Tract 5311.02,"Census Tract 5311.02, Los Angeles County, California",6037531102,140,0,6,37,23,,531102,0
Census Tract 5312.01,"Census Tract 5312.01, Los Angeles County, California",6037531201,140,0,6,37,23,,531201,0
Census Tract 5312.02,"Census Tract 5312.02, Los Angeles County, California",6037531202,140,0,6,37,23,,531202,0
Census Tract 5313.01,"Census Tract 5313.01, Los Angeles County, California",6037531301,140,0,6,37,23,,531301,0
Census Tract 5313.02,"Census Tract 5313.02, Los Angeles County, California",6037531302,140,0,6,37,23,,531302,0
Census Tract 5315.02,"Census Tract 5315.02, Los Angeles County, California",6037531502,140,0,6,37,23,,531502,0
Census Tract 5315.03,"Census Tract 5315.03, Los Angeles County, California",6037531503,140,0,6,37,23,,531503,0
Census Tract 5315.04,"Census Tract 5315.04, Los Angeles County, California",6037531504,140,0,6,37,23,,531504,0
Census Tract 5316.02,"Census Tract 5316.02, Los Angeles County, California",6037531602,140,0,6,37,23,,531602,0
Census Tract 5316.03,"Census Tract 5316.03, Los Angeles County, California",6037531603,140,0,6,37,23,,531603,0
Census Tract 5316.04,"Census Tract 5316.04, Los Angeles County, California",6037531604,140,0,6,37,23,,531604,0
Census Tract 5317.01,"Census Tract 5317.01, Los Angeles County, California",6037531701,140,0,6,37,23,,531701,0
Census Tract 5317.02,"Census Tract 5317.02, Los Angeles County, California",6037531702,140,0,6,37,23,,531702,0
Census Tract 5318,"Census Tract 5318, Los Angeles County, California",6037531800,140,0,6,37,23,,531800,0
Census Tract 5319.01,"Census Tract 5319.01, Los Angeles County, California",6037531901,140,0,6,37,23,,531901,0
Census Tract 5319.02,"Census Tract 5319.02, Los Angeles County, California",6037531902,140,0,6,37,23,,531902,0
Census Tract 5320.01,"Census Tract 5320.01, Los Angeles County, California",6037532001,140,0,6,37,23,,532001,0
Census Tract 5320.02,"Census Tract 5320.02, Los Angeles County, California",6037532002,140,0,6,37,23,,532002,0
Census Tract 5321.01,"Census Tract 5321.01, Los Angeles County, California",6037532101,140,0,6,37,23,,532101,0
Census Tract 5321.02,"Census Tract 5321.02, Los Angeles County, California",6037532102,140,0,6,37,23,,532102,2
Census Tract 5322,"Census Tract 5322, Los Angeles County, California",6037532200,140,0,6,37,23,,532200,0
Census Tract 5323.02,"Census Tract 5323.02, Los Angeles County, California",6037532302,140,0,6,37,23,,532302,68
Census Tract 5323.03,"Census Tract 5323.03, Los Angeles County, California",6037532303,140,0,6,37,23,,532303,0
Census Tract 5323.04,"Census Tract 5323.04, Los Angeles County, California",6037532304,140,0,6,37,23,,532304,0
Census Tract 5324,"Census Tract 5324, Los Angeles County, California",6037532400,140,0,6,37,23,,532400,0
Census Tract 5325,"Census Tract 5325, Los Angeles County, California",6037532500,140,0,6,37,23,,532500,0
Census Tract 5326.03,"Census Tract 5326.03, Los Angeles County, California",6037532603,140,0,6,37,23,,532603,0
Census Tract 5326.04,"Census Tract 5326.04, Los Angeles County, California",6037532604,140,0,6,37,23,,532604,0
Census Tract 5326.05,"Census Tract 5326.05, Los Angeles County, California",6037532605,140,0,6,37,23,,532605,0
Census Tract 5326.06,"Census Tract 5326.06, Los Angeles County, California",6037532606,140,0,6,37,23,,532606,0
Census Tract 5327,"Census Tract 5327, Los Angeles County, California",6037532700,140,0,6,37,23,,532700,0
Census Tract 5328,"Census Tract 5328, Los Angeles County, California",6037532800,140,0,6,37,23,,532800,0
Census Tract 5329,"Census Tract 5329, Los Angeles County, California",6037532900,140,0,6,37,23,,532900,0
Census Tract 5330.01,"Census Tract 5330.01, Los Angeles County, California",6037533001,140,0,6,37,23,,533001,0
Census Tract 5330.02,"Census Tract 5330.02, Los Angeles County, California",6037533002,140,0,6,37,23,,533002,0
Census Tract 5331.03,"Census Tract 5331.03, Los Angeles County, California",6037533103,140,0,6,37,23,,533103,0
Census Tract 5331.04,"Census Tract 5331.04, Los Angeles County, California",6037533104,140,0,6,37,23,,533104,0
Census Tract 5331.05,"Census Tract 5331.05, Los Angeles County, California",6037533105,140,0,6,37,23,,533105,0
Census Tract 5331.06,"Census Tract 5331.06, Los Angeles County, California",6037533106,140,0,6,37,23,,533106,7
Census Tract 5331.07,"Census Tract 5331.07, Los Angeles County, California",6037533107,140,0,6,37,23,,533107,0
Census Tract 5332.01,"Census Tract 5332.01, Los Angeles County, California",6037533201,140,0,6,37,23,,533201,0
Census Tract 5332.02,"Census Tract 5332.02, Los Angeles County, California",6037533202,140,0,6,37,23,,533202,0
Census Tract 5332.03,"Census Tract 5332.03, Los Angeles County, California",6037533203,140,0,6,37,23,,533203,0
Census Tract 5333,"Census Tract 5333, Los Angeles County, California",6037533300,140,0,6,37,23,,533300,0
Census Tract 5334.01,"Census Tract 5334.01, Los Angeles County, California",6037533401,140,0,6,37,23,,533401,0
Census Tract 5334.02,"Census Tract 5334.02, Los Angeles County, California",6037533402,140,0,6,37,23,,533402,0
Census Tract 5334.03,"Census Tract 5334.03, Los Angeles County, California",6037533403,140,0,6,37,23,,533403,0
Census Tract 5335.01,"Census Tract 5335.01, Los Angeles County, California",6037533501,140,0,6,37,23,,533501,0
Census Tract 5335.02,"Census Tract 5335.02, Los Angeles County, California",6037533502,140,0,6,37,23,,533502,0
Census Tract 5335.03,"Census Tract 5335.03, Los Angeles County, California",6037533503,140,0,6,37,23,,533503,0
Census Tract 5336.01,"Census Tract 5336.01, Los Angeles County, California",6037533601,140,0,6,37,23,,533601,0
Census Tract 5336.02,"Census Tract 5336.02, Los Angeles County, California",6037533602,140,0,6,37,23,,533602,0
Census Tract 5336.03,"Census Tract 5336.03, Los Angeles County, California",6037533603,140,0,6,37,23,,533603,0
Census Tract 5337.01,"Census Tract 5337.01, Los Angeles County, California",6037533701,140,0,6,37,23,,533701,0
Census Tract 5337.02,"Census Tract 5337.02, Los Angeles County, California",6037533702,140,0,6,37,23,,533702,0
Census Tract 5337.03,"Census Tract 5337.03, Los Angeles County, California",6037533703,140,0,6,37,23,,533703,0
Census Tract 5338.03,"Census Tract 5338.03, Los Angeles County, California",6037533803,140,0,6,37,23,,533803,0
Census Tract 5338.04,"Census Tract 5338.04, Los Angeles County, California",6037533804,140,0,6,37,23,,533804,0
Census Tract 5338.05,"Census Tract 5338.05, Los Angeles County, California",6037533805,140,0,6,37,23,,533805,0
Census Tract 5338.06,"Census Tract 5338.06, Los Angeles County, California",6037533806,140,0,6,37,23,,533806,0
Census Tract 5339.01,"Census Tract 5339.01, Los Angeles County, California",6037533901,140,0,6,37,23,,533901,0
Census Tract 5339.02,"Census Tract 5339.02, Los Angeles County, California",6037533902,140,0,6,37,23,,533902,0
Census Tract 5340.01,"Census Tract 5340.01, Los Angeles County, California",6037534001,140,0,6,37,23,,534001,0
Census Tract 5340.02,"Census Tract 5340.02, Los Angeles County, California",6037534002,140,0,6,37,23,,534002,0
Census Tract 5341.01,"Census Tract 5341.01, Los Angeles County, California",6037534101,140,0,6,37,23,,534101,0
Census Tract 5341.02,"Census Tract 5341.02, Los Angeles County, California",6037534102,140,0,6,37,23,,534102,0
Census Tract 5342.01,"Census Tract 5342.01, Los Angeles County, California",6037534201,140,0,6,37,23,,534201,0
Census Tract 5342.02,"Census Tract 5342.02, Los Angeles County, California",6037534202,140,0,6,37,23,,534202,0
Census Tract 5342.03,"Census Tract 5342.03, Los Angeles County, California",6037534203,140,0,6,37,23,,534203,0
Census Tract 5343.01,"Census Tract 5343.01, Los Angeles County, California",6037534301,140,0,6,37,23,,534301,0
